1000 10000
256 554 908
221 750 765
740 626 825
548 471 239
74 756 562
88 62 94
676 949 627
306 52 344
817 547 803
256 387 557
210 784 24
487 307 234
736 493 288
371 49 462
554 826 968
463 433 877
848 801 874
109 606 774
656 672 949
487 926 120
533 347 91
86 234 89
376 243 936
436 589 327
538 768 889
163 61 399
609 965 67
327 428 376
782 550 430
976 614 343
871 267 980
58 669 346
606 349 942
754 740 911
120 249 943
82 446 476
357 951 895
770 668 792
824 571 145
964 887 207
440 619 21
994 81 833
541 926 818
24 657 407
242 755 934
781 364 292
523 632 59
521 178 95
555 87 384
661 389 858
123 207 503
81 89 237
394 833 382
577 499 634
3 989 235
320 665 460
358 546 748
136 578 527
422 136 582
865 251 747
911 591 807
704 335 763
114 572 678
234 946 438
232 467 291
423 217 472
522 714 932
261 73 136
524 401 670
483 560 546
400 76 811
40 191 323
922 963 467
216 896 227
64 44 551
574 658 775
391 595 293
858 547 118
783 421 712
595 42 110
249 317 633
34 892 593
98 576 701
245 843 29
215 18 645
316 946 775
71 251 662
585 345 101
119 65 488
419 161 571
736 386 366
125 581 146
659 156 938
864 563 440
267 510 5
831 678 568
858 652 324
197 636 859
624 540 14
314 126 199
91 811 30
71 579 691
701 79 324
153 693 484
853 643 92
797 838 903
228 504 682
557 39 100
625 344 652
167 53 343
964 470 926
810 277 312
507 494 280
641 798 520
924 618 366
216 999 672
489 488 439
218 766 604
667 588 643
488 530 860
510 897 599
584 295 81
913 651 728
785 433 779
695 711 773
344 355 785
998 553 939
856 532 195
412 673 487
431 407 249
935 389 112
985 951 531
27 150 446
18 769 575
103 584 337
693 957 624
522 242 424
505 367 292
809 312 873
411 606 536
338 104 128
417 39 882
275 943 156
558 467 734
109 645 59
283 744 951
773 317 23
746 945 228
162 96 648
836 357 229
957 953 558
46 941 493
924 130 148
93 919 867
643 509 184
538 903 248
640 484 94
169 470 721
553 64 909
585 503 422
25 307 305
874 894 582
790 61 854
535 477 894
754 649 720
449 379 566
60 988 455
811 373 817
924 854 571
998 400 90
912 119 990
585 240 628
877 736 664
453 367 168
501 898 307
496 521 45
37 805 785
155 320 959
642 791 901
104 647 653
631 960 486
365 319 775
183 688 738
47 136 893
457 369 781
300 422 11
946 180 449
95 164 541
68 477 509
507 371 688
760 293 799
556 916 990
32 350 380
664 414 568
350 496 569
740 209 936
148 815 978
130 862 45
105 78 238
426 159 277
756 94 215
824 303 259
970 211 102
549 908 311
544 871 35
265 603 150
7 281 738
546 674 558
476 27 350
839 69 385
360 300 931
73 648 792
750 461 497
642 454 379
668 521 469
41 494 96
908 733 721
449 648 855
168 522 443
180 466 39
506 447 454
667 225 643
20 383 944
575 420 281
970 611 394
330 236 679
608 775 292
891 229 199
536 410 677
465 870 408
848 31 196
222 362 360
420 86 621
422 897 25
744 519 479
784 645 911
592 904 840
979 12 289
735 928 263
896 492 226
815 380 722
310 489 835
582 249 749
952 71 380
821 252 549
141 769 198
811 579 990
346 226 276
779 859 772
673 895 10
984 33 291
534 138 513
436 925 194
98 902 56
315 365 134
713 996 318
578 922 105
791 582 155
384 122 758
797 199 114
700 467 601
502 262 68
978 415 795
650 853 560
18 476 629
122 455 881
322 614 597
790 573 144
230 994 508
867 566 566
207 569 148
1000 870 643
647 951 949
933 26 680
792 178 692
558 616 45
605 244 842
981 472 401
89 374 491
44 371 749
275 895 311
998 912 351
397 855 318
914 588 125
290 204 823
388 972 914
206 162 611
307 952 766
801 121 350
358 631 999
324 899 407
779 357 2
874 284 864
928 98 455
261 189 453
924 336 514
358 421 659
145 703 587
121 703 134
81 888 117
616 70 296
337 941 475
520 822 110
577 31 42
766 838 159
463 85 59
300 773 802
220 562 304
310 621 902
918 976 176
58 808 118
983 794 973
304 511 298
340 905 20
739 769 53
92 304 428
456 343 261
269 713 720
829 591 70
957 921 928
785 68 45
732 508 982
904 609 382
676 523 77
746 424 904
70 643 11
543 702 542
26 343 1000
948 595 706
601 821 165
888 639 970
186 863 328
865 821 290
939 510 27
352 197 322
612 522 297
171 157 556
47 20 874
248 855 823
785 763 564
603 825 584
351 896 723
352 178 968
778 191 544
479 887 270
504 527 424
667 195 230
855 845 363
273 167 257
610 101 493
902 356 661
534 873 750
879 636 182
3 299 639
429 898 529
842 91 441
456 715 491
896 361 197
747 693 385
703 229 935
4 191 348
492 442 906
695 916 190
652 851 665
43 709 402
366 357 747
957 94 410
356 223 925
63 40 420
220 142 793
602 389 202
614 659 125
599 569 70
318 50 260
683 168 92
808 84 201
113 721 339
188 889 235
171 198 783
7 857 266
36 267 389
423 821 765
718 52 984
169 94 816
637 715 833
654 35 273
30 550 396
148 34 89
600 252 722
17 925 487
872 294 260
466 184 377
439 912 737
709 653 364
943 662 80
39 284 408
170 954 373
448 264 678
170 803 451
326 340 81
845 633 114
911 710 251
159 483 89
586 258 174
870 831 871
498 460 20
842 854 494
218 823 822
224 228 199
979 553 390
566 476 852
368 56 859
989 997 62
861 255 587
148 165 94
262 207 354
815 209 148
558 709 949
668 488 236
978 905 903
222 395 22
681 207 373
1000 26 397
594 221 525
875 980 605
37 994 362
363 655 132
925 668 225
218 545 775
157 717 376
400 506 976
302 406 561
127 102 76
437 942 448
542 378 339
93 154 792
438 854 826
212 353 252
696 703 131
919 587 425
533 135 121
355 536 95
494 377 778
770 242 259
332 481 509
215 493 523
644 69 500
477 161 230
372 39 354
977 258 501
130 783 4
233 835 661
825 767 143
778 283 361
286 800 981
130 184 719
632 132 261
148 455 984
12 305 38
901 593 177
114 238 2
608 906 915
638 274 971
333 284 804
717 621 822
507 3 349
205 465 508
45 513 949
781 145 102
420 152 219
192 571 914
587 384 172
464 689 952
686 305 817
929 883 107
66 292 970
218 606 793
919 324 655
235 35 162
745 231 952
469 140 758
567 581 527
33 637 358
331 531 27
360 264 167
841 433 972
967 917 148
884 741 438
737 620 594
606 482 585
277 667 695
576 724 715
736 550 283
53 723 882
451 71 873
731 165 885
631 387 947
220 17 685
428 267 856
865 83 507
829 479 195
723 492 203
355 706 707
664 48 362
144 649 121
230 784 293
170 621 587
119 159 889
753 23 802
547 244 578
525 219 495
262 22 667
473 465 742
370 523 391
821 399 660
203 278 557
235 40 504
39 141 746
356 73 988
430 396 303
918 214 69
867 974 780
870 437 204
573 803 680
916 770 670
886 764 382
984 747 573
76 569 525
86 608 124
67 56 952
319 456 346
494 192 216
964 895 928
363 205 498
287 747 324
358 243 437
403 290 632
137 347 523
844 852 169
813 874 302
995 153 256
813 450 404
701 669 366
489 467 164
951 983 769
824 885 222
767 557 974
297 942 699
308 518 889
185 89 234
845 350 544
109 474 76
608 196 730
275 284 454
834 950 866
532 653 304
441 950 45
642 329 35
962 51 414
211 340 81
500 510 105
927 149 414
814 835 645
388 741 718
23 701 452
223 331 416
169 722 537
642 460 978
775 406 68
449 822 773
909 484 7
44 550 886
955 179 699
572 844 762
525 326 95
154 827 873
676 673 379
752 422 916
972 739 68
576 965 790
893 385 391
733 169 7
903 223 813
27 129 659
940 366 200
67 214 756
539 183 188
107 172 210
47 904 119
997 419 976
686 612 193
247 654 553
498 333 718
72 276 99
679 357 120
517 212 548
294 464 248
825 106 283
260 51 68
255 18 707
495 303 590
96 491 574
649 64 459
725 374 711
599 51 507
821 27 793
338 19 457
249 691 863
622 537 191
373 841 133
364 717 412
521 368 58
755 596 401
775 470 648
80 556 743
55 346 93
753 40 678
369 23 100
684 751 879
969 336 411
428 216 429
767 740 857
36 959 162
559 15 583
905 335 871
164 371 799
506 110 846
369 666 128
520 22 122
334 977 442
897 544 592
702 65 487
505 805 938
900 87 725
675 780 86
784 613 233
846 484 880
695 306 158
58 467 676
33 975 846
967 588 900
292 802 299
701 396 181
125 750 622
113 371 641
45 292 758
999 603 238
831 935 564
588 47 944
198 424 168
295 913 852
804 205 312
226 236 343
908 700 843
470 506 22
789 253 450
751 787 550
254 320 73
717 323 597
947 738 772
897 477 210
553 590 251
494 403 740
252 577 322
445 248 430
574 801 289
928 456 651
165 614 304
565 961 851
471 693 29
184 283 435
29 926 171
92 857 282
508 918 607
567 831 252
899 286 491
639 193 162
918 127 953
367 14 153
758 538 393
689 735 354
462 579 903
727 566 220
315 910 706
41 75 53
518 410 617
25 559 930
843 528 76
269 977 817
786 964 248
561 369 852
768 646 685
72 199 977
928 793 84
547 218 92
942 357 356
663 488 960
721 270 593
678 565 122
828 795 162
582 726 276
567 899 99
791 965 864
27 117 832
580 387 189
408 757 15
375 210 205
869 733 565
458 815 342
409 681 864
965 822 296
5 623 47
4 964 842
959 105 519
663 251 304
218 665 778
424 613 584
834 685 377
315 314 496
894 327 24
895 208 815
594 95 413
114 758 792
866 185 962
148 818 215
543 642 329
625 972 185
573 38 874
207 896 3
836 590 233
521 213 668
748 662 437
674 793 844
542 341 571
531 910 551
84 448 461
221 243 552
773 837 245
368 865 323
577 424 635
149 252 887
175 855 138
654 457 429
505 483 129
184 113 922
379 74 492
113 145 625
246 758 106
877 496 786
235 44 836
533 861 783
380 467 495
266 799 764
901 460 424
282 142 303
791 724 589
680 235 44
127 390 392
378 36 507
711 79 301
829 354 611
301 309 69
382 151 662
915 792 152
572 940 68
93 140 168
637 397 535
519 149 330
2 498 380
770 631 786
614 269 593
79 271 383
742 784 830
511 760 439
373 737 268
959 245 386
581 75 684
302 9 566
416 68 906
148 558 654
858 136 337
241 705 223
449 177 306
4 90 334
225 85 961
323 760 903
800 314 973
608 217 444
675 614 911
44 496 693
534 175 498
690 769 203
984 265 413
392 424 226
513 769 682
337 844 717
958 709 291
61 115 127
919 601 308
919 778 353
119 247 759
962 566 894
12 37 705
949 759 380
723 961 535
355 704 443
137 869 480
831 861 704
252 260 797
197 887 748
240 481 77
689 512 781
778 707 744
510 594 284
411 130 33
737 666 24
818 416 783
865 643 237
227 207 93
897 190 292
594 387 595
303 625 668
899 543 555
608 224 287
831 546 618
275 390 96
497 97 506
35 552 936
471 411 686
426 792 199
763 587 815
136 224 85
968 594 856
297 20 587
286 918 50
276 961 88
28 597 693
285 201 846
43 452 687
354 111 110
959 588 509
427 137 313
579 485 268
648 144 234
1000 153 344
844 336 279
347 481 388
812 1000 690
291 158 683
923 719 580
955 894 656
755 750 792
352 247 199
551 640 769
357 684 25
328 389 400
231 629 12
7 114 334
242 807 116
48 729 1
700 121 249
309 402 653
136 310 455
289 696 721
148 669 912
118 327 652
991 808 725
662 520 861
49 767 321
518 970 357
262 477 463
523 603 771
162 505 645
241 643 800
758 824 814
821 58 150
841 180 298
184 265 983
762 878 245
732 216 98
97 693 195
284 546 850
201 592 362
794 582 493
316 158 157
78 610 465
869 532 208
481 35 531
749 460 960
533 953 865
986 211 700
427 267 495
188 678 810
970 874 274
583 612 79
760 737 96
462 607 251
157 769 641
508 745 529
229 660 943
630 819 766
915 929 701
46 325 335
102 773 996
30 962 608
783 739 14
427 877 251
18 933 60
569 262 598
611 410 689
739 863 932
261 772 653
890 416 928
126 634 730
11 653 609
141 949 833
306 347 228
813 806 236
477 414 358
461 765 807
652 505 403
692 723 875
294 263 644
244 137 394
432 689 23
811 846 360
224 232 993
199 222 686
917 563 270
537 587 870
48 900 964
611 182 468
67 361 704
974 201 619
725 765 785
617 888 234
430 433 380
85 218 27
567 669 319
68 529 882
409 638 64
347 511 203
939 867 231
432 451 401
528 742 572
15 448 672
259 575 501
440 692 142
597 305 502
325 706 583
297 48 683
428 6 497
911 742 862
212 688 819
60 556 542
581 386 61
880 524 372
376 654 726
761 795 955
520 343 608
721 709 448
770 971 422
649 590 234
960 468 460
110 269 138
835 114 867
705 961 245
363 39 74
935 903 521
70 318 176
484 863 963
811 681 928
535 312 343
755 5 848
602 213 376
542 366 31
70 99 892
912 407 890
648 993 846
849 228 641
913 791 396
825 984 20
527 539 344
311 16 13
200 667 437
711 566 416
506 322 188
539 141 253
936 323 169
348 339 704
472 819 174
903 630 620
287 231 341
761 67 144
177 274 250
941 474 837
964 683 398
281 197 218
472 464 103
399 147 246
822 877 168
554 736 61
815 764 330
107 309 896
78 55 910
340 36 463
545 112 55
154 958 869
782 929 735
165 883 365
708 684 153
42 558 440
436 831 656
165 523 76
441 383 453
800 880 903
897 288 804
699 531 651
182 438 580
234 606 115
954 988 553
550 647 139
214 712 317
795 938 120
230 331 582
805 972 652
327 547 621
738 739 403
284 13 144
732 181 459
590 217 698
549 963 621
68 372 37
240 622 552
524 317 767
829 400 880
118 403 71
744 450 402
163 667 409
97 995 884
129 695 22
513 198 844
797 567 636
211 255 542
799 712 354
836 405 296
392 473 76
353 511 860
81 133 218
576 207 774
966 417 920
798 62 185
244 187 492
947 23 393
421 771 499
908 448 146
368 223 884
585 737 325
621 147 662
49 375 856
179 929 364
250 4 394
701 555 324
404 62 211
355 921 423
724 575 781
903 107 830
865 30 361
691 654 956
754 796 535
431 873 31
466 575 684
782 869 755
89 633 840
102 700 209
60 472 837
87 992 893
971 920 243
811 84 235
193 649 714
536 242 512
633 672 302
64 419 612
378 871 389
67 355 782
644 618 345
106 188 292
217 673 378
723 145 37
179 367 307
410 955 392
86 75 783
213 371 372
538 803 841
523 201 227
321 852 166
68 574 197
492 654 147
572 360 272
122 347 212
786 880 526
293 325 247
900 612 969
620 121 521
615 943 13
412 416 630
638 279 494
811 940 110
839 489 1
342 558 493
206 887 901
310 866 438
748 174 98
50 458 17
10 236 264
136 472 46
638 690 48
886 288 386
860 40 718
966 448 135
520 342 909
53 817 510
872 987 530
578 109 663
401 540 814
940 919 635
856 270 606
420 564 781
295 896 811
921 362 316
479 944 55
519 579 695
345 911 569
429 992 439
700 663 722
186 389 283
702 424 954
394 730 259
248 648 811
200 972 33
49 293 737
364 10 639
164 943 1000
457 558 145
907 1 965
900 549 966
666 306 687
250 380 864
126 160 741
61 588 427
853 298 255
664 945 379
187 81 446
63 999 610
16 405 502
772 327 865
212 907 659
439 901 627
575 268 613
589 260 488
827 968 291
277 664 217
902 365 339
993 30 466
261 346 701
368 457 528
540 689 244
53 457 502
325 834 813
338 714 534
602 283 187
481 452 171
160 752 487
90 176 287
352 701 411
156 950 88
905 310 680
145 384 462
224 709 893
915 190 942
652 493 142
695 777 891
830 823 833
84 656 710
354 641 673
458 776 49
675 507 433
426 156 647
568 207 210
660 492 682
635 91 355
482 831 860
159 387 246
718 972 47
444 773 491
496 86 568
383 548 367
457 80 446
705 246 942
380 735 350
964 709 903
937 456 32
201 808 350
422 849 978
73 487 963
217 151 63
511 3 967
691 98 662
339 209 389
639 851 84
203 161 101
341 577 771
289 189 360
455 819 719
118 369 833
267 406 371
856 315 693
875 964 34
513 737 155
817 600 159
844 441 92
869 648 682
68 25 890
516 995 613
488 262 859
294 154 266
38 954 78
994 209 437
512 647 840
185 927 641
60 783 674
588 962 638
307 606 616
274 1 92
371 981 732
306 206 800
138 380 210
78 244 605
463 82 453
114 882 402
507 314 816
125 296 677
447 23 729
752 289 230
66 509 331
151 381 365
620 574 94
517 344 243
730 418 686
345 333 539
22 675 200
737 244 443
868 875 263
971 521 523
984 748 230
876 296 602
714 224 894
942 530 603
946 339 873
472 939 899
401 538 219
179 764 76
48 635 753
366 202 818
241 90 423
824 344 820
267 708 468
932 144 873
161 580 596
651 955 568
108 561 607
243 13 982
411 763 263
237 516 349
134 294 402
389 158 592
963 480 820
730 830 802
818 974 902
405 953 850
217 276 912
285 607 303
520 43 805
493 246 430
922 40 7
513 468 119
572 328 340
512 110 822
441 415 691
494 874 50
756 999 849
927 892 169
757 882 435
209 63 231
690 31 946
667 850 986
859 748 870
451 435 89
873 28 396
617 865 323
399 503 820
552 997 623
424 451 121
659 30 219
757 204 609
501 759 478
765 612 946
509 91 517
913 896 419
282 241 517
771 991 2
768 39 355
759 228 707
507 459 829
156 705 909
907 348 941
741 733 937
681 52 398
98 225 137
139 640 409
976 493 169
668 412 865
385 642 186
373 769 856
242 105 243
184 998 100
583 91 470
712 626 874
456 180 585
411 177 535
1 126 57
189 146 167
563 828 908
39 282 455
467 157 638
711 297 70
952 806 313
333 731 704
172 262 389
384 72 58
804 318 551
37 388 512
118 939 588
708 738 563
4 636 486
211 522 390
905 663 156
319 868 689
511 20 992
305 35 304
908 284 494
239 913 641
329 635 827
77 826 572
79 621 263
842 339 956
469 399 229
156 446 193
905 822 998
984 581 857
530 1 271
350 425 562
291 326 694
997 345 313
818 501 216
10 923 768
369 475 759
513 11 632
109 252 411
37 588 934
515 161 965
301 165 658
476 69 464
367 750 305
73 23 309
593 513 919
801 872 743
988 374 19
571 63 891
582 699 277
873 227 442
851 383 796
425 749 234
57 791 935
213 528 738
221 247 961
410 927 666
378 460 858
3 723 806
315 985 538
411 127 656
234 94 951
782 843 711
306 986 338
210 90 257
902 395 561
781 734 426
3 242 277
344 589 32
944 193 142
42 738 517
813 937 341
280 875 110
565 513 151
721 240 235
782 507 929
431 339 266
57 159 508
203 325 50
821 553 519
786 189 162
66 317 200
922 950 884
430 269 850
149 250 135
607 959 850
43 378 556
493 260 88
281 192 180
42 60 342
364 799 216
993 901 674
433 795 21
479 871 811
117 353 765
704 623 798
54 27 395
280 812 598
522 5 549
198 756 717
681 74 962
650 695 980
268 977 824
746 843 362
283 606 461
493 334 761
286 687 769
934 547 936
565 873 15
998 792 57
465 400 55
83 548 457
9 467 723
657 771 840
205 47 241
790 64 456
660 805 927
666 932 84
939 907 514
175 906 273
922 691 797
912 146 575
27 117 528
662 181 660
884 507 124
1 944 734
641 193 372
363 52 640
948 879 461
27 683 5
565 55 924
415 193 835
749 898 6
42 195 663
9 201 103
815 822 701
668 194 861
421 928 102
871 31 801
616 457 388
424 501 563
580 865 932
48 520 487
536 798 164
530 461 28
755 694 474
721 645 768
322 345 621
616 829 295
778 53 477
724 353 420
442 678 103
888 336 711
79 809 120
415 928 639
934 512 68
253 836 451
346 678 657
667 43 548
493 941 331
844 536 513
549 679 251
886 894 217
114 481 396
994 416 575
295 198 854
188 150 702
889 840 329
907 128 355
698 669 181
127 661 892
762 527 868
538 989 372
236 151 141
614 117 150
335 699 740
465 880 236
277 295 268
924 137 46
57 891 368
750 124 875
251 494 8
923 468 663
357 519 430
68 683 317
652 211 926
909 257 275
565 289 988
607 242 938
329 762 157
707 595 389
691 910 102
522 23 311
773 47 699
916 794 425
397 750 181
941 378 32
352 42 351
433 90 549
728 322 479
799 529 191
691 14 393
660 729 431
444 753 472
12 997 355
659 756 331
27 646 930
24 599 49
757 569 208
655 355 276
720 176 983
667 685 733
879 882 257
162 252 799
765 519 208
875 828 372
674 924 215
755 598 335
840 887 991
447 606 22
591 82 977
27 215 454
479 561 68
948 533 949
591 507 317
137 613 599
537 297 870
5 334 983
192 922 693
920 889 95
73 793 147
980 143 652
473 164 821
782 492 525
29 153 637
878 829 810
531 72 879
812 112 792
356 572 788
539 797 719
181 520 508
838 244 447
469 688 818
463 912 770
892 686 983
350 154 111
181 292 599
842 459 312
249 897 208
526 290 78
494 369 167
615 263 291
430 597 412
786 383 405
902 662 834
645 340 635
487 298 697
598 779 93
86 208 204
321 770 616
429 576 829
473 732 169
142 553 581
188 630 615
385 439 899
366 716 755
746 617 555
419 160 12
359 655 767
923 981 453
873 380 765
204 550 146
335 857 405
288 902 617
983 857 115
398 961 548
760 512 552
421 859 346
806 84 960
992 715 900
663 78 303
120 686 280
109 23 15
246 762 430
926 921 539
215 944 512
100 645 19
552 810 688
475 843 321
626 526 215
351 596 407
367 799 905
409 258 661
250 389 794
377 175 512
782 563 399
319 399 282
857 373 650
276 573 60
562 848 720
336 72 290
483 451 884
52 568 978
737 63 492
649 851 869
986 849 515
529 142 769
66 425 152
531 725 411
748 848 47
979 710 989
954 355 49
114 584 708
709 264 452
877 928 572
654 307 590
457 82 108
189 898 914
399 261 28
832 375 401
649 733 762
210 418 888
574 799 786
808 364 693
971 282 366
254 506 334
216 983 178
84 181 302
388 732 31
683 230 170
37 235 854
944 697 93
881 547 175
251 941 295
572 650 624
245 498 681
381 912 573
424 186 760
824 258 1
700 97 682
330 78 963
467 432 896
740 504 966
243 590 941
129 171 836
478 582 500
942 933 704
297 808 438
983 994 324
851 576 391
329 285 348
36 426 833
928 696 294
850 587 926
453 418 977
949 612 837
28 347 72
257 561 293
804 817 398
306 166 887
32 766 410
289 133 663
399 583 468
341 221 806
991 190 603
251 194 538
313 156 977
225 966 406
614 589 897
615 588 861
41 194 361
176 977 253
363 720 563
481 753 718
833 309 746
268 82 20
562 237 301
628 270 716
402 656 107
772 876 157
40 463 841
606 640 366
621 503 542
107 299 810
63 606 897
567 754 34
134 324 945
733 894 212
575 542 863
794 857 313
985 28 567
553 663 983
19 469 885
133 5 868
688 365 259
672 630 48
242 2 206
774 283 104
360 633 391
565 535 125
263 577 918
84 312 218
805 195 728
8 267 998
911 185 521
459 777 477
707 488 766
328 950 1000
597 822 924
379 43 788
308 471 302
817 825 443
742 184 770
128 75 900
213 721 252
380 288 921
631 470 252
892 210 807
219 647 981
746 760 707
684 353 773
166 527 180
308 489 659
817 263 684
447 450 128
691 845 918
181 93 415
994 842 525
787 876 71
373 613 126
999 638 296
546 225 62
69 703 421
872 187 122
194 782 307
353 368 63
335 403 99
836 300 278
512 920 37
611 765 856
743 605 724
961 689 790
664 525 641
310 674 510
782 748 674
354 198 697
241 756 198
579 641 523
36 445 743
876 827 731
764 787 706
215 968 227
502 651 790
440 529 820
26 583 226
983 16 351
741 959 10
454 734 332
109 46 950
507 476 459
358 594 736
871 909 377
722 754 201
835 9 204
601 941 892
538 629 754
740 735 633
7 890 611
74 690 511
810 947 367
100 996 150
197 549 832
841 907 926
625 79 188
427 731 301
271 141 88
430 632 567
489 653 99
49 442 177
818 554 738
512 820 460
85 59 182
276 409 67
6 477 692
259 699 857
450 653 299
93 212 397
826 420 607
653 886 609
929 828 23
654 266 707
549 854 586
264 829 194
353 232 271
221 568 692
493 812 307
257 405 521
153 625 186
428 102 568
406 644 820
644 756 925
348 171 130
30 626 275
57 780 436
57 686 960
634 157 841
508 762 291
859 653 421
535 204 919
1 410 91
182 630 66
602 184 452
122 29 193
597 930 429
717 442 342
627 447 38
260 150 868
793 514 822
169 792 881
11 430 346
265 762 204
637 365 293
955 563 357
601 1000 159
393 146 890
173 966 861
393 690 436
972 512 890
262 347 201
306 742 380
694 196 303
630 643 885
640 699 462
181 251 95
561 233 159
51 388 443
886 545 455
269 948 995
770 62 446
375 336 270
524 724 653
626 769 298
387 186 819
829 633 320
755 646 437
11 50 628
500 85 135
227 248 217
888 51 670
833 558 738
614 256 964
96 450 724
986 758 276
115 657 835
101 513 400
285 646 946
212 1000 723
947 826 844
338 745 175
112 944 240
670 162 526
102 127 190
429 597 356
396 104 15
736 10 198
804 295 928
655 760 127
931 753 891
152 726 245
824 555 289
29 839 427
259 20 910
402 341 142
364 359 984
616 992 468
784 962 759
128 387 388
437 600 828
493 797 379
592 443 197
607 836 64
699 57 535
493 51 511
526 340 163
553 688 513
919 94 733
134 454 162
360 220 231
764 735 44
559 855 554
358 370 731
146 891 407
363 385 797
159 503 359
978 146 574
63 447 435
681 568 159
482 242 438
980 659 82
340 715 86
6 111 369
612 160 752
55 66 728
94 239 134
752 98 216
481 137 55
24 944 124
146 182 953
788 104 948
504 344 969
16 306 334
154 808 961
955 330 805
288 111 840
574 142 964
640 413 351
33 2 802
616 149 460
52 493 800
729 860 814
671 588 659
158 422 967
960 220 3
696 92 210
52 690 15
614 171 522
138 956 133
630 295 386
306 647 325
240 855 575
903 904 506
809 561 600
928 222 66
958 21 804
571 478 667
602 227 249
735 924 155
509 385 58
967 954 976
981 256 853
109 796 719
354 627 879
843 604 590
982 315 507
552 751 600
259 650 423
327 7 343
665 436 242
818 794 236
790 367 882
804 501 296
434 402 9
134 687 825
159 226 701
854 968 969
775 239 230
275 895 886
118 14 204
158 402 535
739 474 124
517 905 632
874 726 426
499 981 459
764 35 268
726 224 779
205 474 254
253 586 391
645 927 76
91 642 694
247 719 181
7 954 290
750 105 173
293 597 10
647 362 280
200 951 64
786 143 849
93 705 109
39 430 195
928 640 248
720 627 56
631 801 110
43 378 254
292 118 462
660 388 648
931 46 253
242 292 13
950 297 685
788 976 815
397 955 817
837 487 820
741 123 611
670 15 922
301 398 965
942 279 224
542 893 579
516 330 193
535 921 156
711 935 303
729 656 878
227 980 956
137 964 21
756 76 250
907 883 410
300 599 396
371 784 829
556 51 782
768 869 1
918 673 18
354 190 945
820 36 204
251 554 855
815 658 278
521 394 921
991 881 222
371 745 938
729 63 76
418 576 108
353 975 801
364 912 285
529 902 80
613 968 921
453 628 677
45 29 520
344 149 67
721 565 164
770 761 337
510 158 81
272 96 742
819 757 46
851 897 543
583 726 929
493 732 741
769 493 777
365 726 735
634 706 761
872 561 767
200 777 890
772 766 886
679 149 974
369 490 59
187 594 674
560 882 643
879 771 920
850 654 657
867 589 372
263 664 823
851 550 192
107 374 155
531 73 7
704 959 603
416 528 981
184 566 905
947 173 12
164 51 971
678 291 751
325 312 863
918 243 23
446 250 278
586 809 760
127 435 549
371 821 502
12 932 956
348 595 178
727 231 803
460 724 55
670 265 744
359 394 842
96 772 300
469 131 608
501 163 986
519 847 885
772 378 34
522 696 818
982 208 843
94 838 774
615 193 211
374 44 366
508 583 485
493 468 519
397 969 264
783 226 20
771 255 600
626 879 62
327 473 933
248 947 606
685 948 791
704 348 119
813 144 628
113 656 288
829 650 699
655 396 987
66 901 514
311 835 780
601 689 915
514 831 85
355 231 25
263 40 403
530 621 27
454 938 234
994 958 771
691 547 103
463 473 364
328 282 964
400 330 18
369 666 848
574 85 276
882 806 331
791 307 221
77 54 11
389 579 25
13 201 45
347 205 294
263 618 671
298 200 610
719 712 897
926 80 577
195 809 927
243 90 114
638 903 766
653 484 698
603 416 658
539 698 391
304 985 714
967 502 800
87 168 339
37 896 182
523 768 936
942 186 810
807 716 820
70 43 974
496 346 594
976 807 725
209 865 198
897 503 193
598 42 768
167 541 104
815 63 190
592 410 555
934 254 78
952 479 235
339 556 618
584 667 652
77 211 721
842 137 656
642 716 936
293 464 95
623 795 934
337 798 12
296 420 896
583 826 809
448 925 166
329 381 422
764 532 785
964 950 289
825 156 468
596 700 838
476 826 842
757 358 912
768 501 850
195 255 74
301 920 759
682 114 616
264 641 656
847 954 470
195 63 418
554 645 537
273 978 182
627 403 401
25 840 223
56 909 435
641 266 84
558 650 65
850 127 701
786 943 965
308 729 328
909 526 273
167 881 246
30 40 156
469 905 695
308 990 180
885 579 142
967 82 635
558 649 118
966 80 166
51 399 276
256 802 467
212 4 356
611 407 324
582 458 152
212 961 650
597 899 771
962 298 248
531 706 128
22 744 624
740 859 236
798 989 82
647 263 992
702 862 352
754 209 422
975 519 32
241 337 279
750 135 807
100 448 995
963 206 791
628 987 976
705 580 955
280 754 474
717 834 586
662 366 482
48 252 534
592 838 784
978 970 789
126 229 995
169 365 243
841 576 750
328 33 312
996 801 689
334 468 138
162 143 63
561 993 220
838 354 340
871 664 330
313 587 470
231 881 282
861 20 286
14 170 311
112 53 223
413 455 401
394 726 850
125 699 482
891 118 29
47 693 136
786 284 645
227 471 709
110 919 33
411 995 757
20 994 364
67 830 1
521 48 595
572 228 550
531 314 982
154 751 612
527 405 881
876 13 313
10 450 487
483 756 173
627 472 518
821 896 257
210 920 535
883 994 658
76 700 851
885 277 752
5 442 677
215 510 278
167 961 549
129 272 638
234 702 45
845 956 630
766 293 589
666 847 33
89 854 629
124 278 663
990 354 874
318 928 868
59 808 557
804 126 315
173 316 1
37 312 573
702 647 987
612 20 874
510 137 958
925 576 636
756 755 535
418 517 413
17 434 747
920 338 990
357 465 356
714 916 856
697 370 207
493 525 413
381 321 280
353 256 522
57 318 562
913 533 414
171 292 637
744 615 212
368 183 437
927 439 295
170 480 670
969 997 174
295 665 382
923 616 350
217 190 667
512 298 523
807 832 154
906 433 399
538 419 208
563 139 941
493 788 278
865 907 114
